id,name,rating,content,org_id
1,clubambiguous,1,decent,5
2,upstagefrowning,5,decent,3
3,doyltcoven,5,eh,1
4,pouchsteadfast,0,decent,2
5,upstagefrowning,0,bad,5
6,originfortress,1,good,1
7,doyltcoven,4,wtf,3
8,penitentsuper,5,decent,1
9,assistgigantic,1,"like, wow",4
10,upstagefrowning,2,good,1
11,favorableprofit,5,eh,1
12,likablerookery,0,eh,2
13,thereforeshowy,5,"like, wow",3
14,clubambiguous,3,bad,3
15,lamentableservice,2, could not even imagine this exists,3
16,wateryfisher,2,good,2
17,wateryfisher,3,"like, wow",5
18,penitentsuper,0,"like, wow",3
19,dextrousevolution,1,decent,1
20,stronglyabashed,1,wtf,4
21,dextrousevolution,5,decent,1
22,pouchsteadfast,5,good,4
23,pufferfishresemble,5,wtf,5
24,originfortress,4,decent,4
25,denoccasionally,5, could not even imagine this exists,5
26,thereforeshowy,3,bad,2
27,likablerookery,3,decent,1
28,pufferfishresemble,4,good,1
29,denoccasionally,0,eh,2
30,thereforeshowy,5,bad,1
31,flinkreceptive,2,bad,1
32,originfortress,5,eggcelent,5
33,clubambiguous,5,wtf,4
34,penitentsuper,1,good,1
35,southeasterlypolenta,1,good,1
36,pouchsteadfast,4, could not even imagine this exists,3
37,likablerookery,2,decent,3
38,jelliedjackstaff,3,eggcelent,1
39,wateryfisher,0,good,2
40,likablerookery,0,wtf,1
41,thereforeshowy,5,eh,3
42,penitentsuper,0,good,1
43,likablerookery,2,good,3
44,dextrousevolution,4,bad,1
45,flinkreceptive,2, could not even imagine this exists,4
46,dextrousevolution,3,wtf,4
47,penitentsuper,0,eggcelent,4
48,lamentableservice,4,eggcelent,4
49,denoccasionally,2,"like, wow",3
50,denoccasionally,4, could not even imagine this exists,4
51,upstagefrowning,1, could not even imagine this exists,4
52,flinkreceptive,1,decent,4
53,stronglyabashed,1,good,1
54,pufferfishresemble,2,eh,5
55,wateryfisher,1,good,1
56,penitentsuper,5,good,3
57,southeasterlypolenta,0,"like, wow",2
58,denoccasionally,0,"like, wow",5
59,denoccasionally,1,good,3
